Team,Total,Win Type
Rising Pune Supergiant,62.5,Home
Rising Pune Supergiant,62.5,Away
Mumbai Indians,57.42574257,Home
Mumbai Indians,59.30232558,Away
Chennai Super Kings,57.30337079,Home
Chennai Super Kings,65.33333333,Away
Delhi Capitals,50,Home
Delhi Capitals,70,Away
Sunrisers Hyderabad,47.61904762,Home
Sunrisers Hyderabad,62.22222222,Away
Rajasthan Royals,43.28358209,Home
Rajasthan Royals,57.5,Away
Deccan Chargers,41.86046512,Home
Deccan Chargers,34.375,Away
Kings XI Punjab,41.75824176,Home
Kings XI Punjab,51.76470588,Away
Royal Challengers Bangalore,41.17647059,Home
Royal Challengers Bangalore,51.57894737,Away
Kolkata Knight Riders,40.96385542,Home
Kolkata Knight Riders,61.05263158,Away
Delhi Daredevils,34.72222222,Home
Delhi Daredevils,47.19101124,Away
Pune Warriors,30,Home
Pune Warriors,23.07692308,Away
Kochi Tuskers Kerala,28.57142857,Home
Kochi Tuskers Kerala,57.14285714,Away
Gujarat Lions,7.142857143,Home
Gujarat Lions,75,Away
